Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s,SEASON,RATING
Sai Sudharsan,GT,759,15,15,1,108*,54.21,486,156.17,1,6,88,21,2024,10
Surya Kumar Yadav,MI,717,16,16,5,73*,65.18,427,167.91,0,5,69,38,2023,6
Virat Kohli,RCB,657,15,15,3,73*,54.75,454,144.71,0,8,66,19,2024,9
Shubman Gill,GT,650,15,15,2,93*,50.00,417,155.87,0,6,62,24,2022,5
Mitchell Marsh,LSG,627,13,13,0,117,48.23,383,163.7,1,6,56,37,2024,8
Shreyas Iyer,PBKS,604,17,17,5,97*,50.33,345,175.07,0,6,43,39,2021,9
Yashasvi Jaiswal,RR,559,14,14,1,75,43.00,350,159.71,0,6,60,28,2021,7
Prabhsimran Singh,PBKS,549,17,17,0,91,32.29,342,160.52,0,4,56,30,2023,6
K L Rahul,DC,539,13,13,3,112*,53.90,360,149.72,1,3,52,21,2024,6
Jos Buttler,GT,538,14,13,4,97*,59.78,330,163.03,0,5,52,24,2021,8
Nicholas Pooran,LSG,524,14,14,2,87*,43.67,267,196.25,0,5,45,40,2023,10
Heinrich Klaasen,SRH,487,13,13,2,105*,44.27,282,172.69,1,1,42,25,2024,10
Priyansh Arya,PBKS,475,17,17,0,103,27.94,265,179.24,1,2,55,25,2021,5
Aiden Markram,LSG,445,13,13,0,66,34.23,299,148.82,0,5,38,22,2023,9
Abhishek Sharma,SRH,439,14,13,0,141,33.77,227,193.39,1,2,46,28,2023,8
Rohit Sharma,MI,418,15,15,1,81,29.86,280,149.28,0,4,41,22,2024,5
Phil Salt,RCB,403,13,13,1,65,33.58,229,175.98,0,4,48,22,2022,5
Riyan Parag,RR,393,14,14,2,95,32.75,236,166.52,0,1,27,27,2022,10
Ajinkya Rahane,KKR,390,13,12,1,61,35.45,264,147.72,0,3,36,20,2023,6
Ryan Rickelton,MI,388,14,14,1,62*,29.85,257,150.97,0,3,47,17,2022,6
Travis Head,SRH,374,13,12,0,76,31.17,230,162.6,0,3,50,15,2022,6
Nehal Wadhera,PBKS,369,16,15,3,70,30.75,253,145.84,0,2,28,21,2024,5
Shivam Dube,CSK,357,14,14,3,50,32.45,270,132.22,0,1,22,21,2023,10
Ishan Kishan,SRH,354,14,13,3,106*,35.40,232,152.58,1,1,33,15,2024,6
Shashank Singh,PBKS,350,17,14,7,61*,50.00,228,153.5,0,3,23,18,2023,10
N Tilak Varma,MI,343,16,13,2,59,31.18,248,138.3,0,2,23,16,2023,7
Dhruv Jurel,RR,333,14,13,4,70,37.00,213,156.33,0,2,22,22,2024,5
Ayush Badoni,LSG,329,14,11,1,74,32.90,222,148.19,0,2,27,14,2024,5
Rajat Patidar,RCB,312,15,14,1,64,24.00,217,143.77,0,2,25,14,2023,8
Abishek Porel,DC,301,13,13,1,51,25.08,205,146.82,0,1,28,12,2022,6
Ravindra Jadeja,CSK,301,14,14,5,77*,33.44,222,135.58,0,2,25,10,2022,7
Tristan Stubbs,DC,300,14,13,7,41*,50.00,199,150.75,0,0,25,11,2022,9
Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33,215,139.53,0,1,30,8,2023,6
Sherfane Rutherford,GT,291,13,11,2,46,32.33,185,157.29,0,0,22,18,2024,5
Sanju Samson,RR,285,9,9,1,66,35.63,203,140.39,0,1,27,13,2021,5
Josh Inglis,PBKS,278,11,11,2,73,30.89,171,162.57,0,1,26,16,2021,10
Rishabh Pant,LSG,269,14,13,2,118*,24.45,202,133.16,1,1,23,16,2023,10
Axar Patel,DC,263,12,11,1,43,26.30,167,157.48,0,0,23,15,2024,10
Jitesh Sharma,RCB,261,15,11,4,85*,37.29,148,176.35,0,1,24,17,2022,10
Vaibhav Suryavanshi,RR,252,7,7,0,101,36.00,122,206.55,1,1,18,24,2023,8
Naman Dhir,MI,252,16,12,4,46,31.50,138,182.6,0,0,24,13,2021,8
Devdutt Padikkal,RCB,247,10,10,1,61,27.44,164,150.6,0,2,21,14,2024,7
Sunil Narine,KKR,246,12,12,1,44,22.36,144,170.83,0,0,25,19,2023,8
Ayush Mhatre,CSK,240,7,7,0,94,34.29,127,188.97,0,1,31,11,2021,10
Shimron Hetmyer,RR,239,14,13,2,52,21.73,164,145.73,0,1,17,11,2023,10
Aniket Verma,SRH,236,14,12,3,74,26.22,142,166.19,0,1,12,20,2023,5
Will Jacks,MI,233,13,11,1,53,23.30,172,135.46,0,1,22,11,2024,8
Dewald Brevis,CSK,225,6,6,0,57,37.50,125,180,0,2,13,17,2021,5
Hardik Pandya,MI,224,15,12,3,48*,24.89,137,163.5,0,0,18,12,2021,7
Nitish Rana,RR,217,11,11,1,81,21.70,134,161.94,0,2,27,9,2023,8
Rinku Singh,KKR,206,13,11,4,38*,29.43,134,153.73,0,0,20,10,2024,10
Ashutosh Sharma,DC,204,13,9,2,66*,29.14,127,160.62,0,1,14,13,2023,8
Faf Du Plessis,DC,202,9,9,0,62,22.44,163,123.92,0,2,18,8,2022,10
Karun Nair,DC,198,8,8,0,89,24.75,115,172.17,0,1,24,10,2024,8
MS Dhoni,CSK,196,14,13,5,30*,24.50,145,135.17,0,0,12,12,2021,7
Rachin Ravindra,CSK,191,8,8,1,65*,27.29,149,128.18,0,1,18,4,2023,10
Tim David,RCB,187,12,9,6,50*,62.33,101,185.14,0,1,16,14,2024,9
Nitish Kumar Reddy,SRH,182,13,11,3,32,22.75,153,118.95,0,0,16,4,2024,10
Shahrukh Khan,GT,179,15,11,5,57,29.83,100,179,0,1,11,13,2022,5
Andre Russell,KKR,167,13,10,1,57*,18.56,102,163.72,0,1,16,14,2023,10
Abdul Samad,LSG,164,13,12,4,45,20.50,93,176.34,0,0,8,14,2024,10
Marcus Stoinis,PBKS,160,13,11,5,44*,26.67,86,186.04,0,0,8,15,2021,5
Devon Conway,CSK,156,6,6,0,69,26.00,119,131.09,0,2,17,4,2022,9
David Miller,LSG,153,11,11,6,27*,30.60,120,127.5,0,0,13,4,2024,10
Quinton De Kock,KKR,152,8,8,1,97*,21.71,117,129.91,0,1,9,11,2023,5
Vipraj Nigam,DC,142,14,8,1,39,20.29,79,179.74,0,0,15,8,2022,9
Venkatesh Iyer,KKR,142,11,7,0,60,20.29,102,139.21,0,1,15,4,2022,5
Washington Sundar,GT,133,6,5,0,49,26.60,80,166.25,0,0,10,7,2023,5
Ruturaj Gaikwad,CSK,122,5,5,0,63,24.40,81,150.61,0,2,14,4,2021,7
Sameer Rizvi,DC,121,5,4,1,58*,40.33,79,153.16,0,1,11,7,2023,5
Vijay Shankar,CSK,118,6,5,2,69*,39.33,91,129.67,0,1,8,3,2024,9
Sam Curran,CSK,114,5,5,0,88,22.80,84,135.71,0,1,11,4,2021,9
Liam Livingstone,RCB,112,10,8,1,54,16.00,84,133.33,0,1,4,9,2024,10
Krunal Pandya,RCB,109,15,7,1,73*,18.17,86,126.74,0,1,9,4,2022,9
Shubham Dubey,RR,106,9,8,4,34*,26.50,66,160.6,0,0,6,8,2022,9
Rahul Tewatia,GT,99,15,12,4,24*,12.38,59,167.79,0,0,6,7,2023,5
Pat Cummins,SRH,97,14,9,5,22*,24.25,58,167.24,0,0,6,7,2021,8
Mayank Agarwal,RCB,95,4,4,1,41*,31.67,64,148.43,0,0,10,2,2021,6
Manish Pandey,KKR,92,3,3,1,37,46.00,65,141.53,0,0,5,5,2023,5
Kamindu Mendis,SRH,92,5,5,2,32*,30.67,69,133.33,0,0,7,2,2023,10
Jonny Bairstow,MI,85,2,2,0,47,42.50,46,184.78,0,0,7,5,2024,5
Marco Jansen,PBKS,75,14,8,4,34*,18.75,63,119.04,0,0,3,4,2022,8
Rahmanullah Gurbaz,KKR,74,5,5,1,35,18.50,53,139.62,0,0,10,3,2024,6
Shaik Rasheed,CSK,71,5,5,0,27,14.20,63,112.69,0,0,9,2,2021,6
Romario Shepherd,RCB,70,8,3,1,53*,35.00,24,291.66,0,1,5,7,2024,10
Urvil Patel,CSK,68,3,3,0,37,22.67,32,212.5,0,0,5,6,2022,10
Jacob Bethell,RCB,67,2,2,0,55,33.50,39,171.79,0,1,9,3,2023,6
Jofra Archer,RR,63,12,7,1,30,10.50,50,126,0,0,3,4,2022,7
Abhinav Manohar,SRH,61,8,5,0,43,12.20,61,100,0,0,2,4,2023,8
Azmatullah Omarzai,PBKS,57,9,5,1,21*,14.25,41,139.02,0,0,6,3,2022,7
Harshit Rana,KKR,57,13,7,3,34,14.25,53,107.54,0,0,5,3,2021,8
Jake Fraser - McGurk,DC,55,6,6,0,38,9.17,52,105.76,0,0,7,2,2024,8
Rahul Tripathi,CSK,55,5,5,0,23,11.00,57,96.49,0,0,6,1,2023,9
Glenn Maxwell,PBKS,48,7,6,0,30,8.00,49,97.95,0,0,5,1,2023,10
Corbin Bosch,MI,47,2,2,0,27,23.50,32,146.87,0,0,3,3,2021,5
Ramandeep Singh,KKR,47,11,7,2,22,9.40,35,134.28,0,0,1,4,2021,5
Rashid Khan,GT,40,15,8,3,12,8.00,28,142.85,0,0,2,3,2023,8
Mitchell Santner,MI,40,13,8,6,18*,20.00,33,121.21,0,0,2,3,2022,10
Deepak Chahar,MI,37,14,4,3,28*,37.00,25,148,0,0,3,2,2022,7
Ravichandran Ashwin,CSK,33,9,4,0,13,8.25,30,110,0,0,3,1,2022,10
Deepak Hooda,CSK,31,7,5,0,22,6.20,41,75.6,0,0,2,1,2022,7
Mohd Arshad Khan,GT,23,9,5,3,20,11.50,19,121.05,0,0,0,3,2023,9
Sediqullah Atal,DC,22,1,1,0,22,22.00,16,137.5,0,0,0,2,2023,8
Avesh Khan,LSG,21,13,4,3,19*,21.00,12,175,0,0,3,1,2023,9
Harshal Patel,SRH,21,13,4,2,12*,10.50,26,80.76,0,0,0,0,2023,6
Kusal Mendis,GT,20,1,1,0,20,20.00,10,200,0,0,1,2,2023,6
Shardul Thakur,LSG,18,10,5,2,6,6.00,12,150,0,0,3,0,2023,9
Kuldeep Yadav,DC,18,14,5,2,7,6.00,16,112.5,0,0,2,0,2024,5
Gerald Coetzee,GT,17,4,2,0,12,8.50,11,154.54,0,0,2,1,2023,5
Jamie Overton,CSK,15,3,2,2,11*,-,7,214.28,0,0,1,1,2024,10
Anshul Kamboj,CSK,14,8,5,3,5*,7.00,12,116.66,0,0,2,0,2021,8
Matthew Breetzke,LSG,14,1,1,0,14,14.00,12,116.66,0,0,1,1,2021,7
Bhuvneshwar Kumar,RCB,14,14,6,3,8,4.67,25,56,0,0,1,0,2021,8
Atharva Taide,SRH,13,1,1,0,13,13.00,9,144.44,0,0,3,0,2021,6
Ravi Bishnoi,LSG,13,11,3,1,13,6.50,16,81.25,0,0,0,2,2024,6
Harpreet Brar,PBKS,11,8,2,1,7*,11.00,13,84.61,0,0,0,1,2023,7
Xavier Bartlett,PBKS,11,4,1,0,11,11.00,15,73.33,0,0,1,0,2023,5
Mohammad Shami,SRH,10,9,4,3,6*,10.00,10,100,0,0,1,0,2023,8
Dushmantha Chameera,DC,10,6,3,3,8*,-,14,71.42,0,0,0,0,2024,10
Maheesh Theekshana,RR,10,11,4,2,5,5.00,27,37.03,0,0,0,0,2024,7
Kagiso Rabada,GT,9,4,2,1,7*,9.00,8,112.5,0,0,0,1,2024,7
Shahbaz Ahmed,LSG,9,3,1,0,9,9.00,8,112.5,0,0,1,0,2021,10
Wiaan Mulder,SRH,9,1,1,0,9,9.00,11,81.81,0,0,1,0,2022,10
Wanindu Hasaranga,RR,9,11,5,0,4,1.80,15,60,0,0,0,0,2022,8
Kwena Maphaka,RR,8,2,1,1,8*,-,2,400,0,0,2,0,2023,5
Raj Angad Bawa,MI,8,3,1,1,8*,-,4,200,0,0,0,0,2021,6
Tushar Deshpande,RR,7,10,4,3,3,7.00,8,87.5,0,0,0,0,2024,5
Suryansh Shedge,PBKS,7,5,3,0,4,2.33,11,63.63,0,0,0,0,2021,10
Noor Ahmad,CSK,7,14,6,2,2*,1.75,17,41.17,0,0,0,0,2024,7
Akash Deep,LSG,6,6,2,1,6*,6.00,2,300,0,0,0,1,2023,6
Sandeep Sharma,RR,6,10,1,1,6*,-,5,120,0,0,0,0,2024,8
Mitchell Starc,DC,6,11,6,4,2*,3.00,10,60,0,0,0,0,2021,7
Robin Minz,MI,6,2,2,0,3,3.00,15,40,0,0,0,0,2022,5
Rovman Powell,KKR,5,2,1,0,5,5.00,5,100,0,0,1,0,2022,9
Sai Kishore,GT,5,15,3,0,3,1.67,10,50,0,0,0,0,2023,7
Prince Yadav,LSG,5,6,2,2,4*,-,10,50,0,0,0,0,2023,6
Moeen Ali,KKR,5,6,2,0,5,2.50,14,35.71,0,0,0,0,2024,5
Lockie Ferguson,PBKS,4,4,1,1,4*,-,1,400,0,0,1,0,2024,6
Yash Dayal,RCB,4,15,3,1,3,2.00,8,50,0,0,0,0,2024,9
Akash Madhwal,RR,4,4,1,1,4*,-,9,44.44,0,0,0,0,2024,5
Madhav Tiwari,DC,3,1,1,0,3,3.00,4,75,0,0,0,0,2024,7
Mohammed Siraj,GT,3,15,1,1,3*,-,4,75,0,0,0,0,2021,10
Kumar Kartikeya Singh,RR,3,4,2,0,2,1.50,5,60,0,0,0,0,2022,5
Simarjeet Singh,SRH,3,4,3,1,3*,1.50,7,42.85,0,0,0,0,2022,8
Fazalhaq Farooqi,RR,2,5,1,1,2*,-,2,100,0,0,0,0,2022,5
Trent Boult,MI,2,16,2,1,1*,2.00,3,66.66,0,0,0,0,2024,9
Spencer Johnson,KKR,2,4,2,2,1*,-,4,50,0,0,0,0,2021,6
Arshdeep Singh,PBKS,2,17,2,1,1*,2.00,6,33.33,0,0,0,0,2021,8
Varun Chakaravarthy,KKR,1,13,1,1,1*,-,1,100,0,0,0,0,2022,9
V Satyanarayana Penmetsa,MI,1,2,1,1,1*,-,1,100,0,0,0,0,2022,6
Karn Sharma,MI,1,6,1,1,1*,-,1,100,0,0,0,0,2023,5
Khaleel Ahmed,CSK,1,14,2,2,1*,-,2,50,0,0,0,0,2023,5
Mohit Sharma,DC,1,8,2,1,1*,1.00,3,33.33,0,0,0,0,2023,9
Donovan Ferreira,DC,1,1,1,0,1,1.00,3,33.33,0,0,0,0,2024,7
Digvesh Singh,LSG,1,13,2,1,1,1.00,3,33.33,0,0,0,0,2024,5
Manoj Bhandage,RCB,1,1,1,0,1,1.00,4,25,0,0,0,0,2024,7
